UserId,Segment,AI_Advice
U1,2,📉 Harcamalarınız düşük. Gelirinize göre daha dengeli yatırım yapabilirsiniz.
U2,0,🎯 Dengeli harcama alışkanlıkları gözlemleniyor. Bu şekilde devam edin.
U3,1,💸 Harcamalarınız yüksek. Tasarruf için önlemler almanız önerilir.
U4,0,🎯 Dengeli harcama alışkanlıkları gözlemleniyor. Bu şekilde devam edin.
U5,1,💸 Harcamalarınız yüksek. Tasarruf için önlemler almanız önerilir.
U6,0,🎯 Dengeli harcama alışkanlıkları gözlemleniyor. Bu şekilde devam edin.
U7,0,🎯 Dengeli harcama alışkanlıkları gözlemleniyor. Bu şekilde devam edin.
U8,2,📉 Harcamalarınız düşük. Gelirinize göre daha dengeli yatırım yapabilirsiniz.
U9,0,🎯 Dengeli harcama alışkanlıkları gözlemleniyor. Bu şekilde devam edin.
U10,1,💸 Harcamalarınız yüksek. Tasarruf için önlemler almanız önerilir.
